V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,SC0_0,SC0_1,SC0_2,SC1_0,SC1_1,SC1_2,SC2_0,SC2_1,SC2_2,SC3_0,SC3_1,SC3_2,Pilot,Country,State,Cond,consent,ins2,PrimeIntro,HighPower,LowPower,VizTimer_1,VizTimer_2,VizTimer_3,VizTimer_4,HighPrompt,LowPrompt,Essay,WriteTimer_1,WriteTimer_2,WriteTimer_3,WriteTimer_4,AIinstrux,AI01energe,AI02moving,AI03nap,AI04workou,AI05rest,AI06work,AI07relax,WVStrust_1,WVStrust_2,WVStrust_3,WVStrust_4,WVStrust_5,WVStrust_6,TrustIntro,TrustGame_1,TrustResul,IRIintro,IRI01,IRI02,IRI03,IRI04,IRI05,IRI06,IRI07,RMEintro,RME01,RME02,RME03,RME04,RME05,RME06,RME07,RME08,RME09,RME10,subSES,usses,IMC,demo,gender,age,citizen,religion,ethnic2,ethnic2_TEXT,epo,youred,yyour,end,Debrief,Deb1,Deb2,Deb3,debrief,Q82,goforcode,errors,confusing,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2ASwRPjygNJ6cD8,Live,Anonymous,,,71.87.85.18,0,2016-01-11 10:18:02,2016-01-11 10:25:15,1,28,4,1.4142135623731,23,3.2857142857143,0.95118973121134,10,1.6666666666667,0.81649658092773,9,0.9,0.31622776601684,,United States,WI,1,1,1,1,1,,52.314,52.314,60.014,1,1,,"My employer illegally changed the vacation payout policy and I can call and report them to the Department of Labor and get them into trouble, causing problems for the HR department. I feel angry and vindictive and want to cause them trouble since they cheated me out of money.",2.508,2.508,58.144,1,1,21,21,20,20,21,22,21,1,1,1,3,2,2,1,954,1,1,22,22,22,20,22,21,20,1,19,22,21,20,21,20,21,19,22,19,1,7,10,1,2,45,US,None,3,,7,4,5,,1,How people interpret faces/emotions.,I don't think so.,No,1,1,,,,,43.108200073242,-89.270599365234,-1,
R_9HaqjGWjSG3qFeZ,Live,Anonymous,,,166.173.57.128,0,2016-01-11 10:13:59,2016-01-11 10:25:44,1,38,5.4285714285714,0.78679579246944,30,4.2857142857143,0.75592894601845,11,1.8333333333333,0.75277265270908,6,0.6,0.51639777949432,,United States,TX,1,1,1,1,1,,0,0,60.053,0,1,,I was working as a shift manager when one of my employees Jeanette asked me to put in a good word to get her a raise. Jeanette was a hard worker and truly deserved a raise. I went to my general manager and explained to him that she was a very hard worker and always completed her tasks on time and always went above and beyond. He seemed hesitant to give her a raise due to her having an issue with tardiness. I explained to him that she takes care of her younger siblings and when she has to take them to school she has to rush to work. After a few more minutes of discussion I convinced him to give her the raise. I felt empowered and proud for both myself and for Jeanette. She ended up getting more of a raise than she expected.,2.633,2.633,222.153,1,1,24,23,20,22,20,23,20,1,2,1,3,2,2,1,845,1,1,20,23,23,21,23,22,22,1,19,20,21,21,21,20,20,21,22,20,1,8,10,1,2,20,United States,Christianity ,3,,4,3,3,,1,I think the purpose of this study is to see how generous we are as people. Also to see how we react when we receive power. I was given the power to give raffle tickets to the other survey participant.,"Yes, it boosted my mood. It brought me into a happy place from remembering helping out my friend. It caused me to be happier for the rest of the study.",Not at this time.,1,1,,,,,32.783096313477,-96.806701660156,-1,
R_2ZBRevbsxfWQL0T,Live,Anonymous,,,170.185.174.19,0,2016-01-11 10:14:51,2016-01-11 10:27:47,1,27,3.8571428571429,0.69006555934235,26,3.7142857142857,0.48795003647427,13,2.1666666666667,0.98319208025018,9,0.9,0.31622776601684,,United States,KY,1,1,1,1,1,,0,0,60.025,0,1,,"I was letting my students study and they got loud and disruptive. I gave them a warning about being too loud and that they would lose the ability to enjoy this down time if they were being disrespectful to the others. I felt like I had to be the bad guy, but the power of my authority and how quickly they responded was impressive. I feel like my students do listen to me.",3.282,85.491,127.723,5,1,23,22,22,21,23,22,22,1,2,1,3,3,3,1,200,1,1,21,22,22,21,22,22,22,1,19,20,21,20,21,20,21,19,22,21,1,4,10,1,2,29,united states,christian,6,white,4,4,2,,1,how thoughtful people are of others,no,no,1,1,,,,,38.436996459961,-85.413299560547,-1,
R_12niTSDzDeukdeZ,Live,Anonymous,,,50.142.178.69,0,2016-01-11 10:18:09,2016-01-11 10:27:49,1,41,5.8571428571429,1.4638501094228,22,3.1428571428571,1.2149857925879,14,2.3333333333333,0.51639777949432,7,0.7,0.48304589153965,,United States,TN,0,1,1,1,,1,19.144,59.77,60.164,7,,1,My boss had power over me by being able to decide whether I got a raise or not.,3.139,3.139,103.313,1,1,21,24,19,23,19,24,19,2,3,2,3,2,2,1,483,1,1,21,20,22,23,22,22,22,1,19,20,21,21,21,20,20,19,22,22,1,8,10,1,2,37,US,None,3,,4,3,1,,1,None,No,No,1,1,,,,,35.999694824219,-83.911903381348,-1,
R_2wotR0r0yZu91w7,Live,Anonymous,,,108.232.9.112,0,2016-01-11 10:16:54,2016-01-11 10:27:55,1,25,3.5714285714286,0.97590007294853,29,4.1428571428571,0.69006555934235,10,1.6666666666667,0.81649658092773,6,0.6,0.51639777949432,,United States,NC,0,1,1,1,,1,1.796,52.046,60.015,4,,1,"The moment I recalled was when I had my first job in highschool so around 40 years ago. I was working in a bowling ally and had to get the pins and set them back up everytime. My boss was this man who had a grouchy and unusual additude. He controlled my life it seemed, I was always called in to work and if I did not come in I would not get payed. I spent hours working instead of studying or with my friends because I did not have the courage to say no.",1.502,1.502,162.053,1,1,23,21,22,20,22,21,22,1,2,1,3,1,2,1,300,1,1,21,23,23,20,22,22,22,1,19,20,20,20,19,20,21,19,19,22,1,5,10,1,1,54,USA,Judaism,3,,1,4,8,,1,I think the purpose of this survey is about seeing how well people do in other circumstances or unusual circumstances and how empathetic people are.,I do think it effected some of my answers because it made me recall some of the hardships I had to go through,Nope,1,1,,,,,35.711395263672,-78.886199951172,-1,
R_2v7Efu4NZ48HBXC,Live,Anonymous,,,12.15.255.222,0,2016-01-11 10:17:01,2016-01-11 10:27:56,1,27,3.8571428571429,1.5735915849389,23,3.2857142857143,1.1126972805284,12,2,0.63245553203368,7,0.7,0.48304589153965,,United States,IL,1,1,1,1,1,,27.006,42.67,60.025,3,1,,"I used to be a direct supervisor over 10 employees.  I had power over everything about their jobs: starting pay, raises, evaluations, time off, etc.  In a specific situation I found out that an employee was stealing lunches from other employees.  I initially felt sad for the employee who was stealing as it was obvious that she had issues outside of lunch and food.  Due to the theft, I had to fire her.  When I brought her to my office to discuss the issue, I felt sadness for her, anger that it had happened, and relief that the situation would be over soon.",2.769,4.749,140.468,2,1,23,22,25,22,23,22,20,1,2,2,3,2,2,1,200,1,1,20,22,22,23,22,21,21,1,19,22,21,22,21,20,21,19,22,20,1,5,10,1,2,36,United States,Christian,3,,4,5,6,,1,I think the purpose of this study is to evaluate people's perceptions of other people based on their feelings about trust.,"No, I do not think it had any effect on the answers I had.  ",No,1,1,,,,,42.128601074219,-88.033599853516,-1,
R_27lOmKFZXLZxjXO,Live,Anonymous,,,107.211.92.173,0,2016-01-11 10:15:57,2016-01-11 10:28:21,1,30,4.2857142857143,1.9760470401187,30,4.2857142857143,0.48795003647427,14,2.3333333333333,1.0327955589886,8,0.8,0.42163702135578,,United States,FL,0,1,1,1,,1,0,0,62.461,0,,1,I was in the mental treatment center because I had suicidal thoughts the day before. I no longer felt that way and wanted to be released. The head doctor talked with me about it and refused to let me go. I felt very angry and trapped.,4.353,118.457,131.432,3,1,23,21,24,20,20,25,21,1,3,2,4,2,2,1,167,1,1,20,22,22,20,22,23,23,1,19,20,21,20,20,20,20,19,22,19,1,9,10,1,1,26,United States ,Catholic,3,,5,3,1,,1,The purpose was to see how creative I can write and if I read instructions thoroughly.,No.,No.,1,1,,,,,25.76579284668,-80.234901428223,-1,
R_3RwQpLB4GXuoo1Y,Live,Anonymous,,,66.87.81.173,0,2016-01-11 10:16:16,2016-01-11 10:28:22,1,32,4.5714285714286,1.1338934190277,23,3.2857142857143,0.75592894601845,11,1.8333333333333,0.75277265270908,9,0.9,0.31622776601684,,United States,MD,1,1,1,1,1,,24.819,24.819,60.028,1,1,,Running for student government 13years ago when I was in 11th grade. My obtaining the spot of class secretary kept several others from winning. I seen people look scared and turned red when I gave my awesome speech. I felt pretty good because I was anti the norm at the time. ,2.035,79.811,80.611,2,1,23,23,21,20,21,23,21,2,1,3,1,2,2,1,200,1,1,21,21,22,22,21,22,22,1,19,22,21,20,21,20,21,19,22,19,1,7,10,1,1,29,us,no opinion,1,,5,4,5,,1,perceptions...biases. ,It helped me to picture faces and Identify the emotion attached to said faces. ,no,1,1,,,,,39.367004394531,-76.671897888184,-1,
R_1C2QGpq5v3SAfC5,Live,Anonymous,,,108.78.187.108,0,2016-01-11 10:19:04,2016-01-11 10:28:25,1,41,5.8571428571429,0.69006555934235,29,4.1428571428571,0.37796447300923,11,1.8333333333333,0.75277265270908,5,0.5,0.52704627669473,,United States,MO,0,1,1,1,,1,0,0,60.008,0,,1,The situation that came to mind when someone had power over me was when I was reprimanded for a job I did incorrectly at work. I remember that his face got a deeper shade of red and he seemed to get taller even though I know that isnt possible. I remember feeling slightly helpless and only being able to sit there and get yelled at. Afterwards I made sure that I never made that mistake again.,1.667,24.136,99.105,3,1,24,23,20,23,19,24,20,1,2,1,3,2,2,1,691,1,1,20,22,22,20,22,22,23,1,21,20,21,21,21,20,20,19,19,21,1,3,10,1,1,27,USA,Catholic,3,,6,4,5,,1,I think the purpose of this study was to see how we percieve human emotions through body language,I think it put me in the frame of mind to look further into body language,"No, Thank you for the survey",1,1,,,,,38.8125,-90.35009765625,-1,
R_1eF7ORrbvxT1Feu,Live,Anonymous,,,128.249.96.51,0,2016-01-11 10:22:02,2016-01-11 10:29:02,1,30,4.2857142857143,1.8898223650461,30,4.2857142857143,1.1126972805284,13,2.1666666666667,0.98319208025018,6,0.6,0.51639777949432,,United States,TX,1,1,1,1,1,,0,0,60.009,0,1,,"I was able to give orders to people - felt good to be in control and power, telling others what to do. I told them how to properly dissect the body and was able to point out all parts of the anatomy.",1.553,1.553,41.7,1,1,24,24,24,23,24,24,23,1,3,1,3,2,3,1,185,1,1,19,22,23,19,23,22,20,1,19,20,22,20,20,21,21,19,19,19,1,3,10,1,1,22,United States of America,None,2,,5,4,4,,1,How well we can see emotion on others faces,No,no,1,1,,,,,29.707901000977,-95.401000976562,-1,
R_1jJpKjQp56A8U3s,Live,Anonymous,,,73.210.18.246,0,2016-01-11 10:17:03,2016-01-11 10:29:03,1,26,3.7142857142857,1.6035674514745,23,3.2857142857143,0.95118973121134,17,2.8333333333333,0.75277265270908,10,1,0,,United States,IL,1,1,1,1,1,,0,0,60.008,0,1,,"I walked a fellow coworker through a difficult task.  We answered each others questions and I was finally able to lead him in the right direction.  I felt smart, empowered, happy.",12.641,12.641,82.407,1,1,23,21,24,24,24,21,21,2,3,2,4,3,3,1,0,1,1,20,22,22,21,22,20,20,1,19,20,21,20,21,20,21,19,22,19,1,7,10,1,1,32,usa,catholic,3,,3,4,5,,1,Comparing how somebody currently feels to how they perceive how others feel,no i do not,no,1,1,,,,,40.676193237305,-89.635597229004,-1,
R_2VBZdQQZ00NS6qM,Live,Anonymous,,,73.51.84.163,0,2016-01-11 10:16:40,2016-01-11 10:29:11,1,35,5,2.0816659994661,31,4.4285714285714,0.53452248382485,11,1.8333333333333,0.75277265270908,6,0.6,0.51639777949432,,United States,IL,1,1,1,1,1,,0,0,60.004,0,1,,"I was NCOIC of my section, and one of my soldiers failed to show up on time for work. I had been dealing a lot with this soldier and his personal life so i was well aware of why he was late, but that did not excuse his behaviors. I was forced to inflict on him corrective action in the form of physical exercise, and time (staying after release) I felt bad for the guy, I really did not want to because i knew what was happening in his home life, but it was the right thing to do so I did what i had to and ended up building an even stronger repor because he trusted me to help him not just punish",3,160.432,183.07,7,1,24,23,19,22,19,19,21,1,2,1,3,2,2,1,996,1,1,20,22,23,20,23,22,23,1,19,20,21,19,21,21,21,21,22,20,1,4,10,1,1,30,USA,Christian,3,,3,4,1,,1,To see if we have racial bias based on actions and predisposition of images and feelings related to those images,"not really, although the person was of a different nationality and religious persuasion ",,1,1,,,,,40.466094970703,-88.903396606445,-1,
R_bCPjuiDjL2NipTr,Live,Anonymous,,,206.255.162.89,0,2016-01-11 10:18:10,2016-01-11 10:29:17,1,7,1,0,20,2.8571428571429,1.0690449676497,16,2.6666666666667,1.0327955589886,8,0.8,0.42163702135578,,United States,AR,0,1,1,1,,1,31.751,31.751,60.042,1,,1,"I was with friends looking at a car. Sue a fat red head iwth green eyes and messed up teeth, kept talkig so I could not think. I was staying ith her she forced me to go, then left me without a ride so I had to buy it.",7.001,7.001,65.218,1,1,19,19,25,19,25,19,25,2,4,4,2,2,2,1,506,1,1,21,21,22,22,21,19,22,1,22,20,22,20,21,20,21,19,22,19,1,7,10,1,2,39,united states,none,3,,4,3,1,,1,to determine how people react to certain scenarios,no,no,1,1,,,,,35.241806030273,-90.846000671387,-1,
R_1Klohe5rFhsrcjH,Live,Anonymous,,,174.105.252.223,0,2016-01-11 10:15:47,2016-01-11 10:29:30,1,43,6.1428571428571,1.0690449676497,28,4,0,14,2.3333333333333,0.81649658092773,7,0.7,0.48304589153965,,United States,OH,0,1,1,1,,1,31.587,43.485,60.006,3,,1,"I had an issue with the last company I worked for.  I felt like my manager had complete control over me, my family, my well being, and everything else that can be related to a job.  I hated the feeling.  I hated feeling like one person could completely ruin me.  In the end that is exactly what happened.  I screwed up and they chose to suspend me for almost 3 weeks and then they fired me.  I was held in limbo that whole time.  It was terrible and I don't ever want to feel like that again.  Once I become employed again I plan on making sure that I make choices that allow me to  feel secure if something does happen with my new job.",46.805,46.805,203.305,1,1,24,25,20,22,20,25,19,1,3,2,2,3,3,1,250,1,1,20,22,22,20,22,22,22,1,19,22,21,20,21,20,21,20,22,21,1,8,10,1,1,34,USA,None,3,,7,3,3,,1,I feel it was to people peoples perception of themselves and others.,No it didn't because I have had some good things happen in my life lately so that could not hold me back.,Not at this time.,1,1,,,,,38.79150390625,-82.921699523926,-1,
R_aeCFBrhXL8Pt42Z,Live,Anonymous,,,172.112.25.211,0,2016-01-11 10:19:56,2016-01-11 10:29:35,1,33,4.7142857142857,2.6903708365382,33,4.7142857142857,0.48795003647427,10,1.6666666666667,0.51639777949432,9,0.9,0.31622776601684,,United States,CA,0,1,1,1,,1,1.424,23.981,60.136,11,,1,"My boss and owner of the company were upset over my performance on a project so they demoted me. I felt humiliated, ashamed and resentful. I was also very embarrassed and felt like I couldn't tell anyone close to me what happened. I had no control over it. ",87.204,138.036,152.315,5,1,23,23,25,25,25,25,19,1,2,1,2,2,2,1,496,1,1,19,22,23,19,23,22,23,1,19,20,21,20,20,20,21,19,22,19,1,4,10,1,2,27,USA,Catholic,3,,1,4,3,,1,How a stressful situation effects our choices. ,"I think that was the plan of your study, to have the essay effect the answers given. ",no,1,1,,,,,34.252105712891,-118.78430175781,-1,
